Revenue,Title
"$485,873",Walmart
"$223,604",Berkshire Hathaway
"$215,639",Apple
"$205,004",Exxon Mobil
"$192,487",McKesson
"$184,840",UnitedHealth Group
"$177,526",CVS Health
"$166,380",General Motors
"$163,786",AT&T
"$151,800",Ford Motor
"$146,850",AmerisourceBergen
"$135,987",Amazon.com
"$126,661",General Electric
"$125,980",Verizon Communications
"$121,546",Cardinal Health
"$118,719",Costco
"$117,351",Walgreens Boots Alliance
"$115,337",Kroger
"$107,567",Chevron
"$107,162",Fannie Mae
"$105,486",J.P. Morgan Chase
"$100,288",Express Scripts Holding
"$94,595",Home Depot
"$94,571",Boeing
"$94,176",Wells Fargo
"$93,662",Bank of America Corp.
"$90,272",Alphabet
"$85,320",Microsoft
"$84,863",Anthem
"$82,386",Citigroup
"$80,403",Comcast
"$79,919",IBM
"$76,132",State Farm Insurance Cos.
"$72,396",Phillips 66
"$71,890",Johnson & Johnson
"$71,726",Procter & Gamble
"$70,166",Valero Energy
"$69,495",Target
"$65,665",Freddie Mac
"$65,017",Lowe’s
"$64,806",Dell Technologies
"$63,476",MetLife
"$63,155",Aetna
"$62,799",PepsiCo
"$62,346",Archer Daniels Midland
"$60,906",UPS
"$59,387",Intel
"$58,779",Prudential Financial
"$58,734",Albertsons Cos.
"$57,244",United Technologies
"$55,858",Marathon Petroleum
"$55,632",Disney
"$54,379",Humana
"$52,824",Pfizer
"$52,367",AIG
"$50,658",Lockheed Martin
"$50,367",Sysco
"$50,365",FedEx
"$50,123",Hewlett Packard Enterprise
"$49,247",Cisco Systems
"$48,238",HP
"$48,158",Dow Chemical
"$44,747",HCA Holdings
"$41,863",Coca-Cola
"$40,787",New York Life Insurance
"$40,721",Centene
"$40,180",American Airlines Group
"$40,074",Nationwide
"$39,807",Merck
"$39,668",Cigna
"$39,639",Delta Air Lines
"$39,403",Best Buy
"$39,302",Honeywell International
"$38,537",Caterpillar
"$38,308",Liberty Mutual Insurance Group
"$37,949",Morgan Stanley
"$37,788",Massachusetts Mutual Life Insurance
"$37,712",Goldman Sachs Group
"$37,504",Energy Transfer Equity
"$37,105",TIAA
"$37,047",Oracle
"$36,881",Tyson Foods
"$36,556",United Continental Holdings
"$36,534",Allstate
"$34,274",Publix Super Markets
"$33,823",American Express
"$33,184",TJX
"$32,376",Nike
"$31,360",Exelon
"$31,353",General Dynamics
"$30,737",Rite Aid
"$30,390",Gilead Sciences
"$30,347",CHS
"$30,109",3M
"$29,318",Time Warner
"$29,003",Charter Communications
"$28,799",Northwestern Mutual
"$27,638",Facebook
"$27,625",Travelers Cos.
"$27,519",Capital One Financial
"$27,326",Twenty-First Century Fox
"$27,131",USAA
"$27,016",World Fuel Services
"$26,685",Philip Morris International
"$26,644",Deere
"$26,487",Kraft Heinz
"$26,235",Tech Data
"$26,219",Avnet
"$25,923",Mondelez International
"$25,778",Macy’s
"$25,638",AbbVie
"$24,622",McDonald’s
"$24,594",DuPont
"$24,508",Northrop Grumman
"$24,360",ConocoPhillips
"$24,069",Raytheon
"$24,005",Andeavor
"$23,825",Arrow Electronics
"$23,554",Qualcomm
"$23,441",Progressive
"$23,369",Duke Energy
"$23,022",Enterprise Products Partners
"$22,991",Amgen
"$22,919",US Foods Holding
"$22,744",U.S. Bancorp
"$22,559",Aflac
"$22,138",Sears Holdings
"$21,987",Dollar General
"$21,609",AutoNation
"$21,374",Community Health Systems
"$21,316",Starbucks
"$21,222",Eli Lilly
"$21,079",International Paper
"$21,070",Tenet Healthcare
"$20,853",Abbott Laboratories
"$20,719",Dollar Tree
"$20,718",Whirlpool
"$20,425",Southwest Airlines
"$20,268",Emerson Electric
"$20,217",Staples
"$20,182",Plains GP Holdings
"$20,143",Penske Automotive Group
"$19,941",Union Pacific
"$19,912",Danaher
"$19,896",Southern
"$19,654",ManpowerGroup
"$19,427",Bristol-Myers Squibb
"$19,337",Altria Group
"$19,037",Fluor
"$18,686",Kohl’s
"$18,558",Lear
"$18,353",Jabil
"$18,300",Hartford Financial Services Group
"$18,274",Thermo Fisher Scientific
"$18,202",Kimberly-Clark
"$17,782",Molina Healthcare
"$17,666",PG&E Corp.
"$17,529",Supervalu
"$17,509",Cummins
"$17,470",CenturyLink
"$17,411",AECOM
"$17,126",Xerox
"$17,072",Marriott International
"$17,033",Paccar
"$16,563",General Mills
"$16,423",PNC Financial Services Group
"$16,380",American Electric Power
"$16,348",Icahn Enterprises
"$16,208",Nucor
"$16,155",NextEra Energy
"$16,105",Performance Food Group
"$15,920",PBF Energy
"$15,887",Halliburton
"$15,833",CarMax
"$15,789",Freeport-McMoRan
"$15,724",Whole Foods Market
"$15,683",Bank of New York Mellon
"$15,516",Gap
"$15,417",Omnicom Group
"$15,340",Genuine Parts
"$15,197",DaVita
"$15,195",Colgate-Palmolive
"$15,178",PPG Industries
"$15,158",Goodyear Tire & Rubber
"$15,122",Synchrony Financial
"$15,095",DISH Network
"$15,082",Visa
"$14,757",Nordstrom
