postcode,name,address
BL3 1HH,Fratellis,"19 Market Street, Little Lever"
HD9 3AS,Master Pizza Bar,"75 Huddersfield Road, Holmfirth"
HD8 0RL,Pizza Village,"81c North Road, Kirkburton"
HD4 5QT,Punjabi Hut,"338 Blackmoorfoot Road, Huddersfield"
HD8 0SF,Burton Grill,"11 George Street, Huddersfield"
HD5 9BE,Munch Pizza and Grill Bar,"263 Wakefield Road, Huddersfield"
HD1 3AZ,Posh Nosh,"5 Queen Street, Huddersfield"
HD7 5QQ,Royal Curry and Pizza Bar,"1040 Manchester Road, Huddersfield"
LS9 7RE,Gianni's,"183 Hassle Wood Drive, Leeds"
LS28 6EZ,Bigg Mama's,"106 Town Street, Pudsey"
LS28 6AT,The Wok,"153 Bradford Road, Pudsey"
BD4 7NB,Munch Box,"349 Wakefield Road, Bradford"
HD7 5AN,Marharba,"4 Carr Lane, Slaithwaite"
LE4 0RT,Rainbow,"9 Oronsay Road, Leicester"
LE7 7AY,Vojon,"7 Stadon Road, Leicester"
LS9 0DQ,Bad Boy Burgers,"54 Cross Green Lane, Leeds"
LE3 5GF,Shamim Balti,"54 Woodgate, Leicester"
LE2 5DH,Pizza Zebedee,"52 London Road, Leicester"
BD3 8EY,Fresh Fillings,"938-940 Leeds Road, Bradford"
LE3 5LG,Yum Chi,"24 Braunstone Gate, Leicester"
LE2 7AA,Wok In Wok Out,"48 Welford Road, Leicester"
LE3 0BS,Retro Burger Bar,"84 Narborough Road, Leicester"
LE5 0LF,Perizza,"254 Victoria Road East, Leicester"
LE3 0BT,munch munch,"122 Narborough Road, Leicester"
LE2 5DG,Swatlands,"38 London Road, Leicester"
LE1 3GQ,Flavours of Asia,"66 Belgrave Gate, Leicester"
LE5 5BD,Tasty Flavaz,"3 Eggington Street, Leicester"
LE1 3HS,Arthur's Rotisserie,"167 Belgrave Gate, Leicester"
LE2 1RB,Spice of IndoPak @ Stoneycr...,"5-7 Elmfield Avenue, Leicester"
LE18 4SD,Chip Stop,"50B Blaby Road, Wigston"
LE3 6BE,MR Chippy,"119 Kirby Road, Leicester"
LE3 0BT,Rangla Punjab,"138 Narborough Road, Leicester"
LE1 3GQ,The Best Mangal Restaurant,"60 Belgrave Gate, Leicester"
